Subject,Predicate,Object
Action,GENRE_OF,"Big Mommas: Like Father, Like Son"
"Big Mommas: Like Father, Like Son",HAS_CAST,Martin Lawrence
Martin Lawrence,CAST_IN,"Big Mommas: Like Father, Like Son"
Guardians of the Galaxy Vol. 2,HAS_GENRE,Science Fiction
Science Fiction,GENRE_OF,Guardians of the Galaxy Vol. 2
Guardians of the Galaxy Vol. 2,HAS_GENRE,Adventure
Adventure,GENRE_OF,Guardians of the Galaxy Vol. 2
Guardians of the Galaxy Vol. 2,HAS_GENRE,Action
Action,GENRE_OF,Guardians of the Galaxy Vol. 2
Guardians of the Galaxy Vol. 2,HAS_CAST,Chris Pratt
Chris Pratt,CAST_IN,Guardians of the Galaxy Vol. 2
Guardians of the Galaxy Vol. 2,HAS_CAST,Vin Diesel
Vin Diesel,CAST_IN,Guardians of the Galaxy Vol. 2
Guardians of the Galaxy Vol. 2,HAS_CAST,Bradley Cooper
Bradley Cooper,CAST_IN,Guardians of the Galaxy Vol. 2
Seven Pounds,HAS_GENRE,Drama
Drama,GENRE_OF,Seven Pounds
Seven Pounds,HAS_CAST,Will Smith
Will Smith,CAST_IN,Seven Pounds
Seven Pounds,HAS_CAST,Woody Harrelson
Woody Harrelson,CAST_IN,Seven Pounds
The Alien,HAS_GENRE,Comedy
Comedy,GENRE_OF,The Alien
The Alien,HAS_GENRE,Music
Music,GENRE_OF,The Alien
The Alien,HAS_GENRE,Romance
Romance,GENRE_OF,The Alien
Sinister 2,HAS_GENRE,Horror
Horror,GENRE_OF,Sinister 2
Love at First Child,HAS_GENRE,Romance
Romance,GENRE_OF,Love at First Child
Love at First Child,HAS_GENRE,Comedy
Comedy,GENRE_OF,Love at First Child
Bill & Ted's Bogus Journey,HAS_GENRE,Adventure
Adventure,GENRE_OF,Bill & Ted's Bogus Journey
Bill & Ted's Bogus Journey,HAS_GENRE,Comedy
Comedy,GENRE_OF,Bill & Ted's Bogus Journey
Bill & Ted's Bogus Journey,HAS_GENRE,Science Fiction
Science Fiction,GENRE_OF,Bill & Ted's Bogus Journey
Bill & Ted's Bogus Journey,HAS_CAST,Keanu Reeves
Keanu Reeves,CAST_IN,Bill & Ted's Bogus Journey
The Wave,HAS_GENRE,Thriller
Thriller,GENRE_OF,The Wave
The Wave,HAS_GENRE,Drama
Drama,GENRE_OF,The Wave
The Wave,HAS_GENRE,Mystery
Mystery,GENRE_OF,The Wave
The Wave,HAS_CAST,Kristoffer Joner
Kristoffer Joner,CAST_IN,The Wave
The Wave,HAS_CAST,Ane Dahl Torp
Ane Dahl Torp,CAST_IN,The Wave
Lucas,HAS_GENRE,Comedy
Comedy,GENRE_OF,Lucas
Lucas,HAS_GENRE,Drama
Drama,GENRE_OF,Lucas
Lucas,HAS_GENRE,Romance
Romance,GENRE_OF,Lucas
Lucas,HAS_CAST,Charlie Sheen
Charlie Sheen,CAST_IN,Lucas
Lucas,HAS_CAST,Winona Ryder
Winona Ryder,CAST_IN,Lucas
Nutty Professor II: The Klumps,HAS_GENRE,Fantasy
Fantasy,GENRE_OF,Nutty Professor II: The Klumps
Nutty Professor II: The Klumps,HAS_GENRE,Comedy
Comedy,GENRE_OF,Nutty Professor II: The Klumps
Nutty Professor II: The Klumps,HAS_GENRE,Romance
Romance,GENRE_OF,Nutty Professor II: The Klumps
Nutty Professor II: The Klumps,HAS_GENRE,Science Fiction
Science Fiction,GENRE_OF,Nutty Professor II: The Klumps
Nutty Professor II: The Klumps,HAS_CAST,Eddie Murphy
Eddie Murphy,CAST_IN,Nutty Professor II: The Klumps
Dark Places,HAS_GENRE,Thriller
Thriller,GENRE_OF,Dark Places
Dark Places,HAS_GENRE,Mystery
Mystery,GENRE_OF,Dark Places
Dark Places,HAS_GENRE,Drama
Drama,GENRE_OF,Dark Places
Dark Places,HAS_GENRE,Crime
Crime,GENRE_OF,Dark Places
Dark Places,HAS_CAST,Charlize Theron
Charlize Theron,CAST_IN,Dark Places
Dark Places,HAS_CAST,Christina Hendricks
Christina Hendricks,CAST_IN,Dark Places
Dark Places,HAS_CAST,Tye Sheridan
Tye Sheridan,CAST_IN,Dark Places
Take This Waltz,HAS_GENRE,Drama
Drama,GENRE_OF,Take This Waltz
Take This Waltz,HAS_GENRE,Comedy
Comedy,GENRE_OF,Take This Waltz
Take This Waltz,HAS_CAST,Michelle Williams
Michelle Williams,CAST_IN,Take This Waltz
Take This Waltz,HAS_CAST,Seth Rogen
Seth Rogen,CAST_IN,Take This Waltz
Encino Man,HAS_GENRE,Comedy
Comedy,GENRE_OF,Encino Man
Encino Man,HAS_CAST,Pauly Shore
Pauly Shore,CAST_IN,Encino Man
Encino Man,HAS_CAST,Sean Astin
Sean Astin,CAST_IN,Encino Man
The Incredible Hulk,HAS_GENRE,Science Fiction
Science Fiction,GENRE_OF,The Incredible Hulk
The Incredible Hulk,HAS_GENRE,Action
Action,GENRE_OF,The Incredible Hulk
The Incredible Hulk,HAS_GENRE,Adventure
Adventure,GENRE_OF,The Incredible Hulk
The Incredible Hulk,HAS_CAST,Edward Norton
Edward Norton,CAST_IN,The Incredible Hulk
The Incredible Hulk,HAS_CAST,Liv Tyler
Liv Tyler,CAST_IN,The Incredible Hulk
The Angry Birds Movie,HAS_GENRE,Animation
Animation,GENRE_OF,The Angry Birds Movie
The Angry Birds Movie,HAS_GENRE,Adventure
Adventure,GENRE_OF,The Angry Birds Movie
The Angry Birds Movie,HAS_GENRE,Comedy
Comedy,GENRE_OF,The Angry Birds Movie
The Angry Birds Movie,HAS_GENRE,Family
Family,GENRE_OF,The Angry Birds Movie
The Angry Birds Movie,HAS_CAST,Josh Gad
Josh Gad,CAST_IN,The Angry Birds Movie
The Angry Birds Movie,HAS_CAST,Maya Rudolph
Maya Rudolph,CAST_IN,The Angry Birds Movie
The Angry Birds Movie,HAS_CAST,Bill Hader
Bill Hader,CAST_IN,The Angry Birds Movie
The Cleaner,HAS_GENRE,Drama
Drama,GENRE_OF,The Cleaner
Jerry Maguire,HAS_GENRE,Comedy
Comedy,GENRE_OF,Jerry Maguire
Jerry Maguire,HAS_GENRE,Drama
Drama,GENRE_OF,Jerry Maguire
Jerry Maguire,HAS_GENRE,Romance
Romance,GENRE_OF,Jerry Maguire
Jerry Maguire,HAS_CAST,Tom Cruise
Tom Cruise,CAST_IN,Jerry Maguire
Jerry Maguire,HAS_CAST,Cuba Gooding Jr.
Cuba Gooding Jr.,CAST_IN,Jerry Maguire
Jerry Maguire,HAS_DIRECTOR,Cameron Crowe
Cameron Crowe,DIRECTED,Jerry Maguire
Jerry Maguire,HAS_WRITER,Cameron Crowe
Cameron Crowe,WROTE,Jerry Maguire
The Night of the Devils,HAS_GENRE,Horror
Horror,GENRE_OF,The Night of the Devils
Shak,HAS_GENRE,Drama
Drama,GENRE_OF,Shak
Avatar,HAS_GENRE,Action
Action,GENRE_OF,Avatar
Avatar,HAS_GENRE,Adventure
Adventure,GENRE_OF,Avatar
Avatar,HAS_GENRE,Fantasy
Fantasy,GENRE_OF,Avatar
Avatar,HAS_GENRE,Science Fiction
Science Fiction,GENRE_OF,Avatar
Avatar,HAS_CAST,Michelle Rodriguez
Michelle Rodriguez,CAST_IN,Avatar
Avatar,HAS_CAST,Sigourney Weaver
Sigourney Weaver,CAST_IN,Avatar
Avatar,HAS_DIRECTOR,James Cameron
James Cameron,DIRECTED,Avatar
Avatar,HAS_WRITER,James Cameron
James Cameron,WROTE,Avatar
A Ghost Story,HAS_GENRE,Fantasy
Fantasy,GENRE_OF,A Ghost Story
A Ghost Story,HAS_GENRE,Drama
Drama,GENRE_OF,A Ghost Story
A Ghost Story,HAS_CAST,Casey Affleck
Casey Affleck,CAST_IN,A Ghost Story
A Ghost Story,HAS_CAST,Rooney Mara
Rooney Mara,CAST_IN,A Ghost Story
Underworld: Awakening,HAS_GENRE,Fantasy
Fantasy,GENRE_OF,Underworld: Awakening
Underworld: Awakening,HAS_GENRE,Action
Action,GENRE_OF,Underworld: Awakening
Underworld: Awakening,HAS_GENRE,Horror
Horror,GENRE_OF,Underworld: Awakening
Underworld: Awakening,HAS_CAST,Kate Beckinsale
Kate Beckinsale,CAST_IN,Underworld: Awakening
Beaches,HAS_GENRE,Comedy
Comedy,GENRE_OF,Beaches
Beaches,HAS_GENRE,Drama
Drama,GENRE_OF,Beaches
Beaches,HAS_CAST,Bette Midler
Bette Midler,CAST_IN,Beaches
Videodrome,HAS_GENRE,Horror
Horror,GENRE_OF,Videodrome
Videodrome,HAS_GENRE,Science Fiction
Science Fiction,GENRE_OF,Videodrome
Videodrome,HAS_GENRE,Mystery
Mystery,GENRE_OF,Videodrome
Philadelphia Experiment II,HAS_GENRE,Science Fiction
Science Fiction,GENRE_OF,Philadelphia Experiment II
Philadelphia Experiment II,HAS_GENRE,Action
Action,GENRE_OF,Philadelphia Experiment II
Philadelphia Experiment II,HAS_GENRE,Adventure
Adventure,GENRE_OF,Philadelphia Experiment II
Rio,HAS_GENRE,Animation
Animation,GENRE_OF,Rio
Rio,HAS_GENRE,Adventure
Adventure,GENRE_OF,Rio
Rio,HAS_GENRE,Comedy
Comedy,GENRE_OF,Rio
Rio,HAS_GENRE,Family
Family,GENRE_OF,Rio
Rio,HAS_CAST,Jesse Eisenberg
Jesse Eisenberg,CAST_IN,Rio
Rio,HAS_CAST,Anne Hathaway
Anne Hathaway,CAST_IN,Rio
Rio,HAS_CAST,Leslie Mann
Leslie Mann,CAST_IN,Rio
The Hobbit: The Battle of the Five Armies,HAS_GENRE,Action
Action,GENRE_OF,The Hobbit: The Battle of the Five Armies
The Hobbit: The Battle of the Five Armies,HAS_GENRE,Adventure
Adventure,GENRE_OF,The Hobbit: The Battle of the Five Armies
The Hobbit: The Battle of the Five Armies,HAS_GENRE,Fantasy
Fantasy,GENRE_OF,The Hobbit: The Battle of the Five Armies
The Hobbit: The Battle of the Five Armies,HAS_CAST,Martin Freeman
Martin Freeman,CAST_IN,The Hobbit: The Battle of the Five Armies
The Hobbit: The Battle of the Five Armies,HAS_CAST,Orlando Bloom
Orlando Bloom,CAST_IN,The Hobbit: The Battle of the Five Armies
The Hobbit: The Battle of the Five Armies,HAS_DIRECTOR,Peter Jackson
Peter Jackson,DIRECTED,The Hobbit: The Battle of the Five Armies
A Clockwork Orange,HAS_GENRE,Science Fiction
Science Fiction,GENRE_OF,A Clockwork Orange
A Clockwork Orange,HAS_GENRE,Crime
Crime,GENRE_OF,A Clockwork Orange
A Clockwork Orange,HAS_DIRECTOR,Stanley Kubrick
Stanley Kubrick,DIRECTED,A Clockwork Orange
Dinosaur,HAS_GENRE,Family
Family,GENRE_OF,Dinosaur
Dinosaur,HAS_GENRE,Animation
Animation,GENRE_OF,Dinosaur
Lego Indiana Jones and the Raiders of the Lost Brick,HAS_GENRE,Adventure
Adventure,GENRE_OF,Lego Indiana Jones and the Raiders of the Lost Brick
Lego Indiana Jones and the Raiders of the Lost Brick,HAS_GENRE,Comedy
Comedy,GENRE_OF,Lego Indiana Jones and the Raiders of the Lost Brick
Lego Indiana Jones and the Raiders of the Lost Brick,HAS_GENRE,Animation
Animation,GENRE_OF,Lego Indiana Jones and the Raiders of the Lost Brick
Lego Indiana Jones and the Raiders of the Lost Brick,HAS_GENRE,Action
Action,GENRE_OF,Lego Indiana Jones and the Raiders of the Lost Brick
Lego Indiana Jones and the Raiders of the Lost Brick,HAS_GENRE,Family
Family,GENRE_OF,Lego Indiana Jones and the Raiders of the Lost Brick
Lego Indiana Jones and the Raiders of the Lost Brick,HAS_GENRE,Science Fiction
Science Fiction,GENRE_OF,Lego Indiana Jones and the Raiders of the Lost Brick
Lego Indiana Jones and the Raiders of the Lost Brick,HAS_GENRE,War
War,GENRE_OF,Lego Indiana Jones and the Raiders of the Lost Brick
Al Capone,HAS_GENRE,Action
Action,GENRE_OF,Al Capone
Al Capone,HAS_GENRE,Adventure
Adventure,GENRE_OF,Al Capone
Al Capone,HAS_GENRE,Crime
Crime,GENRE_OF,Al Capone
Al Capone,HAS_GENRE,Drama
Drama,GENRE_OF,Al Capone
Ride,HAS_GENRE,Action
Action,GENRE_OF,Ride
Ride,HAS_GENRE,Drama
Drama,GENRE_OF,Ride
The Elizabeth Smart Story,HAS_GENRE,Drama
Drama,GENRE_OF,The Elizabeth Smart Story
The Elizabeth Smart Story,HAS_GENRE,Crime
Crime,GENRE_OF,The Elizabeth Smart Story
The Elizabeth Smart Story,HAS_GENRE,TV Movie
TV Movie,GENRE_OF,The Elizabeth Smart Story
The Bewitched Inn,HAS_GENRE,Fantasy
Fantasy,GENRE_OF,The Bewitched Inn
The Great Gatsby,HAS_GENRE,Drama
Drama,GENRE_OF,The Great Gatsby
The Great Gatsby,HAS_GENRE,Romance
Romance,GENRE_OF,The Great Gatsby
The Great Gatsby,HAS_CAST,Leonardo DiCaprio
Leonardo DiCaprio,CAST_IN,The Great Gatsby
The Great Gatsby,HAS_CAST,Tobey Maguire
Tobey Maguire,CAST_IN,The Great Gatsby
Eve's Bayou,HAS_GENRE,Drama
Drama,GENRE_OF,Eve's Bayou
A Bridge Too Far,HAS_GENRE,Drama
Drama,GENRE_OF,A Bridge Too Far
A Bridge Too Far,HAS_GENRE,History
History,GENRE_OF,A Bridge Too Far
A Bridge Too Far,HAS_GENRE,War
War,GENRE_OF,A Bridge Too Far
A Bridge Too Far,HAS_CAST,James Caan
James Caan,CAST_IN,A Bridge Too Far
A Bridge Too Far,HAS_CAST,Michael Caine
Michael Caine,CAST_IN,A Bridge Too Far
A Bridge Too Far,HAS_CAST,Sean Connery
Sean Connery,CAST_IN,A Bridge Too Far
Untamed Heart,HAS_GENRE,Comedy
Comedy,GENRE_OF,Untamed Heart
Untamed Heart,HAS_GENRE,Drama
Drama,GENRE_OF,Untamed Heart
Untamed Heart,HAS_GENRE,Romance
Romance,GENRE_OF,Untamed Heart
Untamed Heart,HAS_CAST,Christian Slater
Christian Slater,CAST_IN,Untamed Heart
Untamed Heart,HAS_CAST,Marisa Tomei
Marisa Tomei,CAST_IN,Untamed Heart
The Female Brain,HAS_GENRE,misc
misc,GENRE_OF,The Female Brain
I Now Pronounce You Chuck & Larry,HAS_GENRE,Comedy
Comedy,GENRE_OF,I Now Pronounce You Chuck & Larry
I Now Pronounce You Chuck & Larry,HAS_GENRE,Romance
Romance,GENRE_OF,I Now Pronounce You Chuck & Larry
I Now Pronounce You Chuck & Larry,HAS_CAST,Adam Sandler
Adam Sandler,CAST_IN,I Now Pronounce You Chuck & Larry
I Now Pronounce You Chuck & Larry,HAS_CAST,Kevin James
Kevin James,CAST_IN,I Now Pronounce You Chuck & Larry
The Hitchhiker's Guide to the Galaxy,HAS_GENRE,Adventure
Adventure,GENRE_OF,The Hitchhiker's Guide to the Galaxy
The Hitchhiker's Guide to the Galaxy,HAS_GENRE,Comedy
Comedy,GENRE_OF,The Hitchhiker's Guide to the Galaxy
The Hitchhiker's Guide to the Galaxy,HAS_GENRE,Science Fiction
Science Fiction,GENRE_OF,The Hitchhiker's Guide to the Galaxy
The Hitchhiker's Guide to the Galaxy,HAS_CAST,Martin Freeman
Martin Freeman,CAST_IN,The Hitchhiker's Guide to the Galaxy
The Hitchhiker's Guide to the Galaxy,HAS_CAST,Zooey Deschanel
Zooey Deschanel,CAST_IN,The Hitchhiker's Guide to the Galaxy
The Hitchhiker's Guide to the Galaxy,HAS_CAST,Sam Rockwell
Sam Rockwell,CAST_IN,The Hitchhiker's Guide to the Galaxy
The Hitchhiker's Guide to the Galaxy,HAS_CAST,Alan Rickman
Alan Rickman,CAST_IN,The Hitchhiker's Guide to the Galaxy
A Quiet Place to Kill,HAS_GENRE,Drama
Drama,GENRE_OF,A Quiet Place to Kill
A Quiet Place to Kill,HAS_GENRE,Thriller
Thriller,GENRE_OF,A Quiet Place to Kill
One Piece: The Movie,HAS_GENRE,Action
Action,GENRE_OF,One Piece: The Movie
One Piece: The Movie,HAS_GENRE,Animation
Animation,GENRE_OF,One Piece: The Movie
One Piece: The Movie,HAS_GENRE,Adventure
Adventure,GENRE_OF,One Piece: The Movie
One Piece: The Movie,HAS_GENRE,Comedy
Comedy,GENRE_OF,One Piece: The Movie
One Piece: The Movie,HAS_GENRE,Fantasy
Fantasy,GENRE_OF,One Piece: The Movie
Bloodsport,HAS_GENRE,Action
Action,GENRE_OF,Bloodsport
Bloodsport,HAS_GENRE,Thriller
Thriller,GENRE_OF,Bloodsport
Bloodsport,HAS_CAST,Jean-Claude Van Damme
Jean-Claude Van Damme,CAST_IN,Bloodsport
"Definitely, Maybe",HAS_GENRE,Comedy
Comedy,GENRE_OF,"Definitely, Maybe"
"Definitely, Maybe",HAS_GENRE,Romance
Romance,GENRE_OF,"Definitely, Maybe"
"Definitely, Maybe",HAS_CAST,Ryan Reynolds
Ryan Reynolds,CAST_IN,"Definitely, Maybe"
"Definitely, Maybe",HAS_CAST,Abigail Breslin
Abigail Breslin,CAST_IN,"Definitely, Maybe"
"Definitely, Maybe",HAS_CAST,Isla Fisher
Isla Fisher,CAST_IN,"Definitely, Maybe"
"Definitely, Maybe",HAS_CAST,Rachel Weisz
Rachel Weisz,CAST_IN,"Definitely, Maybe"
Bambi,HAS_GENRE,Animation
Animation,GENRE_OF,Bambi
Bambi,HAS_GENRE,Drama
Drama,GENRE_OF,Bambi
Bambi,HAS_GENRE,Family
Family,GENRE_OF,Bambi
Garden State,HAS_GENRE,Comedy
Comedy,GENRE_OF,Garden State
Garden State,HAS_GENRE,Drama
Drama,GENRE_OF,Garden State
Garden State,HAS_GENRE,Romance
Romance,GENRE_OF,Garden State
Garden State,HAS_CAST,Zach Braff
Zach Braff,CAST_IN,Garden State
Garden State,HAS_CAST,Natalie Portman
Natalie Portman,CAST_IN,Garden State
Garden State,HAS_DIRECTOR,Zach Braff
Zach Braff,DIRECTED,Garden State
Sex Tape,HAS_GENRE,Comedy
Comedy,GENRE_OF,Sex Tape
Sex Tape,HAS_CAST,Cameron Diaz
Cameron Diaz,CAST_IN,Sex Tape
Sex Tape,HAS_CAST,Rob Lowe
Rob Lowe,CAST_IN,Sex Tape
The Blackcoat's Daughter,HAS_GENRE,Horror
Horror,GENRE_OF,The Blackcoat's Daughter
The Blackcoat's Daughter,HAS_GENRE,Thriller
Thriller,GENRE_OF,The Blackcoat's Daughter
The Blackcoat's Daughter,HAS_CAST,Emma Roberts
Emma Roberts,CAST_IN,The Blackcoat's Daughter
Paddington 2,HAS_GENRE,Adventure
Adventure,GENRE_OF,Paddington 2
Paddington 2,HAS_GENRE,Comedy
Comedy,GENRE_OF,Paddington 2
Paddington 2,HAS_GENRE,Family
Family,GENRE_OF,Paddington 2
Paddington 2,HAS_CAST,Sally Hawkins
Sally Hawkins,CAST_IN,Paddington 2
Paddington 2,HAS_CAST,Hugh Grant
Hugh Grant,CAST_IN,Paddington 2
Deliver Us from Eva,HAS_GENRE,Comedy
Comedy,GENRE_OF,Deliver Us from Eva
Deliver Us from Eva,HAS_GENRE,Romance
Romance,GENRE_OF,Deliver Us from Eva
The Sweeney,HAS_GENRE,Action
Action,GENRE_OF,The Sweeney
The Sweeney,HAS_GENRE,Crime
Crime,GENRE_OF,The Sweeney
The Immortals,HAS_GENRE,Action
Action,GENRE_OF,The Immortals
The Immortals,HAS_GENRE,Crime
Crime,GENRE_OF,The Immortals
The Immortals,HAS_GENRE,Drama
Drama,GENRE_OF,The Immortals
The Immortals,HAS_GENRE,Thriller
Thriller,GENRE_OF,The Immortals
The Immortals,HAS_CAST,Eric Roberts
Eric Roberts,CAST_IN,The Immortals
The Immortals,HAS_CAST,Chris Rock
Chris Rock,CAST_IN,The Immortals
National Lampoon's Vacation,HAS_GENRE,Comedy
Comedy,GENRE_OF,National Lampoon's Vacation
National Lampoon's Vacation,HAS_GENRE,Adventure
Adventure,GENRE_OF,National Lampoon's Vacation
National Lampoon's Vacation,HAS_CAST,Chevy Chase
Chevy Chase,CAST_IN,National Lampoon's Vacation
Contracted,HAS_GENRE,Horror
Horror,GENRE_OF,Contracted
Contracted,HAS_GENRE,Thriller
Thriller,GENRE_OF,Contracted
Reverse,HAS_GENRE,Comedy
Comedy,GENRE_OF,Reverse
Reverse,HAS_GENRE,Drama
Drama,GENRE_OF,Reverse
Reverse,HAS_GENRE,Thriller
Thriller,GENRE_OF,Reverse
Reverse,HAS_GENRE,Romance
Romance,GENRE_OF,Reverse
You Can't Take It with You,HAS_GENRE,Comedy
Comedy,GENRE_OF,You Can't Take It with You
You Can't Take It with You,HAS_GENRE,Romance
Romance,GENRE_OF,You Can't Take It with You
Brothers,HAS_GENRE,Drama
Drama,GENRE_OF,Brothers
Brothers,HAS_GENRE,Thriller
Thriller,GENRE_OF,Brothers
Brothers,HAS_GENRE,War
War,GENRE_OF,Brothers
Brothers,HAS_CAST,Tobey Maguire
Tobey Maguire,CAST_IN,Brothers
Brothers,HAS_CAST,Jake Gyllenhaal
Jake Gyllenhaal,CAST_IN,Brothers
Brothers,HAS_CAST,Natalie Portman
Natalie Portman,CAST_IN,Brothers
Brothers,HAS_CAST,Sam Shepard
Sam Shepard,CAST_IN,Brothers
Jamesy Boy,HAS_GENRE,Crime
Crime,GENRE_OF,Jamesy Boy
Jamesy Boy,HAS_GENRE,Drama
Drama,GENRE_OF,Jamesy Boy
Jamesy Boy,HAS_GENRE,Romance
Romance,GENRE_OF,Jamesy Boy
The Thirteenth Floor,HAS_GENRE,Thriller
Thriller,GENRE_OF,The Thirteenth Floor
The Thirteenth Floor,HAS_GENRE,Science Fiction
Science Fiction,GENRE_OF,The Thirteenth Floor
The Thirteenth Floor,HAS_GENRE,Mystery
Mystery,GENRE_OF,The Thirteenth Floor
The Creeper,HAS_GENRE,Adventure
Adventure,GENRE_OF,The Creeper
The Creeper,HAS_GENRE,Horror
Horror,GENRE_OF,The Creeper
Midnight Express,HAS_GENRE,Drama
Drama,GENRE_OF,Midnight Express
Midnight Express,HAS_GENRE,Crime
Crime,GENRE_OF,Midnight Express
Swiss Family Robinson,HAS_GENRE,Adventure
Adventure,GENRE_OF,Swiss Family Robinson
Swiss Family Robinson,HAS_GENRE,Family
Family,GENRE_OF,Swiss Family Robinson
Zootopia,HAS_GENRE,Animation
Animation,GENRE_OF,Zootopia
Zootopia,HAS_GENRE,Adventure
Adventure,GENRE_OF,Zootopia
Zootopia,HAS_GENRE,Family
Family,GENRE_OF,Zootopia
Zootopia,HAS_GENRE,Comedy
Comedy,GENRE_OF,Zootopia
Zootopia,HAS_CAST,Jason Bateman
Jason Bateman,CAST_IN,Zootopia
Zootopia,HAS_CAST,Idris Elba
Idris Elba,CAST_IN,Zootopia
Zootopia,HAS_DIRECTOR,Byron Howard
Byron Howard,DIRECTED,Zootopia
Over the Top,HAS_GENRE,Action
Action,GENRE_OF,Over the Top
Over the Top,HAS_GENRE,Drama
Drama,GENRE_OF,Over the Top
Over the Top,HAS_CAST,Sylvester Stallone
Sylvester Stallone,CAST_IN,Over the Top
Killing Time,HAS_GENRE,Documentary
Documentary,GENRE_OF,Killing Time
Braveheart,HAS_GENRE,Action
Action,GENRE_OF,Braveheart
Braveheart,HAS_GENRE,Drama
Drama,GENRE_OF,Braveheart
Braveheart,HAS_GENRE,History
History,GENRE_OF,Braveheart
Braveheart,HAS_GENRE,War
War,GENRE_OF,Braveheart
Braveheart,HAS_CAST,Mel Gibson
Mel Gibson,CAST_IN,Braveheart
Braveheart,HAS_DIRECTOR,Mel Gibson
Mel Gibson,DIRECTED,Braveheart
Butterfly on a Wheel,HAS_GENRE,Crime
Crime,GENRE_OF,Butterfly on a Wheel
Butterfly on a Wheel,HAS_GENRE,Drama
Drama,GENRE_OF,Butterfly on a Wheel
Butterfly on a Wheel,HAS_GENRE,Thriller
Thriller,GENRE_OF,Butterfly on a Wheel
Butterfly on a Wheel,HAS_CAST,Pierce Brosnan
Pierce Brosnan,CAST_IN,Butterfly on a Wheel
Butterfly on a Wheel,HAS_CAST,Gerard Butler
Gerard Butler,CAST_IN,Butterfly on a Wheel
Evil Ed,HAS_GENRE,Horror
Horror,GENRE_OF,Evil Ed
Evil Ed,HAS_GENRE,Comedy
Comedy,GENRE_OF,Evil Ed
Anastasia,HAS_GENRE,Animation
Animation,GENRE_OF,Anastasia
Anastasia,HAS_GENRE,Family
Family,GENRE_OF,Anastasia
Anastasia,HAS_GENRE,Fantasy
Fantasy,GENRE_OF,Anastasia
Anastasia,HAS_GENRE,Adventure
Adventure,GENRE_OF,Anastasia
Anastasia,HAS_CAST,Meg Ryan
Meg Ryan,CAST_IN,Anastasia
Anastasia,HAS_CAST,John Cusack
John Cusack,CAST_IN,Anastasia
Anastasia,HAS_CAST,Hank Azaria
Hank Azaria,CAST_IN,Anastasia
Chloe,HAS_GENRE,Drama
Drama,GENRE_OF,Chloe
Chloe,HAS_GENRE,Thriller
Thriller,GENRE_OF,Chloe
Chloe,HAS_GENRE,Mystery
Mystery,GENRE_OF,Chloe
Chloe,HAS_CAST,Amanda Seyfried
Amanda Seyfried,CAST_IN,Chloe
Chloe,HAS_CAST,Julianne Moore
Julianne Moore,CAST_IN,Chloe
Chloe,HAS_CAST,Liam Neeson
Liam Neeson,CAST_IN,Chloe
The Black Dahlia,HAS_GENRE,Crime
Crime,GENRE_OF,The Black Dahlia
The Black Dahlia,HAS_GENRE,Thriller
Thriller,GENRE_OF,The Black Dahlia
The Black Dahlia,HAS_GENRE,Drama
Drama,GENRE_OF,The Black Dahlia
The Black Dahlia,HAS_CAST,Josh Hartnett
Josh Hartnett,CAST_IN,The Black Dahlia
The Black Dahlia,HAS_CAST,Scarlett Johansson
Scarlett Johansson,CAST_IN,The Black Dahlia
The Black Dahlia,HAS_CAST,Hilary Swank
Hilary Swank,CAST_IN,The Black Dahlia
Evil Dead II,HAS_GENRE,Horror
Horror,GENRE_OF,Evil Dead II
Evil Dead II,HAS_GENRE,Comedy
Comedy,GENRE_OF,Evil Dead II
Evil Dead II,HAS_GENRE,Fantasy
Fantasy,GENRE_OF,Evil Dead II
The Disappearance of McKinley Nolan,HAS_GENRE,Documentary
Documentary,GENRE_OF,The Disappearance of McKinley Nolan
The Color Purple,HAS_GENRE,Drama
Drama,GENRE_OF,The Color Purple
The Color Purple,HAS_CAST,Whoopi Goldberg
Whoopi Goldberg,CAST_IN,The Color Purple
The Color Purple,HAS_CAST,Danny Glover
Danny Glover,CAST_IN,The Color Purple
The Color Purple,HAS_CAST,Oprah Winfrey
Oprah Winfrey,CAST_IN,The Color Purple
The Color Purple,HAS_DIRECTOR,Steven Spielberg
Steven Spielberg,DIRECTED,The Color Purple
Veronica Mars,HAS_GENRE,Comedy
Comedy,GENRE_OF,Veronica Mars
Veronica Mars,HAS_GENRE,Drama
Drama,GENRE_OF,Veronica Mars
Veronica Mars,HAS_GENRE,Crime
Crime,GENRE_OF,Veronica Mars
Veronica Mars,HAS_CAST,Kristen Bell
Kristen Bell,CAST_IN,Veronica Mars
Gotti,HAS_GENRE,Crime
Crime,GENRE_OF,Gotti
Gotti,HAS_GENRE,Drama
Drama,GENRE_OF,Gotti
Gotti,HAS_GENRE,History
History,GENRE_OF,Gotti
Gotti,HAS_GENRE,Thriller
Thriller,GENRE_OF,Gotti
Gotti,HAS_CAST,John Travolta
John Travolta,CAST_IN,Gotti
Porky's,HAS_GENRE,Comedy
Comedy,GENRE_OF,Porky's
Epic,HAS_GENRE,Animation
Animation,GENRE_OF,Epic
Epic,HAS_GENRE,Adventure
Adventure,GENRE_OF,Epic
Epic,HAS_GENRE,Family
Family,GENRE_OF,Epic
Epic,HAS_GENRE,Fantasy
Fantasy,GENRE_OF,Epic
Epic,HAS_CAST,Colin Farrell
Colin Farrell,CAST_IN,Epic
Epic,HAS_CAST,Amanda Seyfried
Amanda Seyfried,CAST_IN,Epic
