SUBJECT,RELATION,OBJECT_PROPERTY
The Amazing Spider-Man 2,HAS_GENRE,Action
Alan Arkin,CAST_IN,The In-Laws
The In-Laws,HAS_CAST,Alan Arkin
Mystery,GENRE_OF,The In-Laws
The In-Laws,HAS_GENRE,Mystery
Adventure,GENRE_OF,The In-Laws
The In-Laws,HAS_GENRE,Adventure
Ryan Reynolds,CAST_IN,The In-Laws
The In-Laws,HAS_CAST,Ryan Reynolds
Albert Brooks,CAST_IN,The In-Laws
The In-Laws,HAS_CAST,Albert Brooks
Michael Douglas,CAST_IN,The In-Laws
The In-Laws,HAS_CAST,Michael Douglas
Comedy,GENRE_OF,The In-Laws
The In-Laws,HAS_GENRE,Comedy
Action,GENRE_OF,The In-Laws
The In-Laws,HAS_GENRE,Action
Daryl Sabara,CAST_IN,World's Greatest Dad
World's Greatest Dad,HAS_CAST,Daryl Sabara
Alexie Gilmore,CAST_IN,World's Greatest Dad
World's Greatest Dad,HAS_CAST,Alexie Gilmore
Robin Williams,CAST_IN,World's Greatest Dad
World's Greatest Dad,HAS_CAST,Robin Williams
Drama,GENRE_OF,World's Greatest Dad
World's Greatest Dad,HAS_GENRE,Drama
Romance,GENRE_OF,World's Greatest Dad
World's Greatest Dad,HAS_GENRE,Romance
Comedy,GENRE_OF,World's Greatest Dad
World's Greatest Dad,HAS_GENRE,Comedy
Danny Huston,CAST_IN,Edge of Darkness
Edge of Darkness,HAS_CAST,Danny Huston
Mel Gibson,CAST_IN,Edge of Darkness
Edge of Darkness,HAS_CAST,Mel Gibson
Thriller,GENRE_OF,Edge of Darkness
Edge of Darkness,HAS_GENRE,Thriller
Mystery,GENRE_OF,Edge of Darkness
Edge of Darkness,HAS_GENRE,Mystery
Drama,GENRE_OF,Edge of Darkness
Edge of Darkness,HAS_GENRE,Drama
Crime,GENRE_OF,Edge of Darkness
Edge of Darkness,HAS_GENRE,Crime
War,GENRE_OF,Train of Life
Train of Life,HAS_GENRE,War
Comedy,GENRE_OF,Train of Life
Train of Life,HAS_GENRE,Comedy
Drama,GENRE_OF,Train of Life
Train of Life,HAS_GENRE,Drama
Thriller,GENRE_OF,The Black Panther
The Black Panther,HAS_GENRE,Thriller
Drama,GENRE_OF,The Black Panther
The Black Panther,HAS_GENRE,Drama
Crime,GENRE_OF,The Black Panther
The Black Panther,HAS_GENRE,Crime
Drama,GENRE_OF,The Pool Boys
The Pool Boys,HAS_GENRE,Drama
Comedy,GENRE_OF,The Pool Boys
The Pool Boys,HAS_GENRE,Comedy
Mystery,GENRE_OF,Phantom
Phantom,HAS_GENRE,Mystery
Adventure,GENRE_OF,Phantom
Phantom,HAS_GENRE,Adventure
Animation,GENRE_OF,Phantom
Phantom,HAS_GENRE,Animation
Horror,GENRE_OF,The Hunt for the BTK Killer
The Hunt for the BTK Killer,HAS_GENRE,Horror
Thriller,GENRE_OF,The Hunt for the BTK Killer
The Hunt for the BTK Killer,HAS_GENRE,Thriller
Drama,GENRE_OF,The Hunt for the BTK Killer
The Hunt for the BTK Killer,HAS_GENRE,Drama
Crime,GENRE_OF,The Hunt for the BTK Killer
The Hunt for the BTK Killer,HAS_GENRE,Crime
TV Movie,GENRE_OF,The Hunt for the BTK Killer
The Hunt for the BTK Killer,HAS_GENRE,TV Movie
TV Movie,GENRE_OF,In the Doghouse
In the Doghouse,HAS_GENRE,TV Movie
Comedy,GENRE_OF,In the Doghouse
In the Doghouse,HAS_GENRE,Comedy
Family,GENRE_OF,In the Doghouse
In the Doghouse,HAS_GENRE,Family
Romance,GENRE_OF,Sleepless in New York
Sleepless in New York,HAS_GENRE,Romance
Drama,GENRE_OF,Sleepless in New York
Sleepless in New York,HAS_GENRE,Drama
Documentary,GENRE_OF,Sleepless in New York
Sleepless in New York,HAS_GENRE,Documentary
Drama,GENRE_OF,The Leather Boys
The Leather Boys,HAS_GENRE,Drama
Horror,GENRE_OF,The Strange Thing About the Johnsons
The Strange Thing About the Johnsons,HAS_GENRE,Horror
Drama,GENRE_OF,The Strange Thing About the Johnsons
The Strange Thing About the Johnsons,HAS_GENRE,Drama
Hank Azaria,CAST_IN,Mystery Men
Mystery Men,HAS_CAST,Hank Azaria
Science Fiction,GENRE_OF,Mystery Men
Mystery Men,HAS_GENRE,Science Fiction
Comedy,GENRE_OF,Mystery Men
Mystery Men,HAS_GENRE,Comedy
Action,GENRE_OF,Mystery Men
Mystery Men,HAS_GENRE,Action
Fantasy,GENRE_OF,Mystery Men
Mystery Men,HAS_GENRE,Fantasy
Adventure,GENRE_OF,Mystery Men
Mystery Men,HAS_GENRE,Adventure
misc,GENRE_OF,Who's Afraid of Virginia Woolf%3F
Who's Afraid of Virginia Woolf%3F,HAS_GENRE,misc
Woody Allen,DIRECTED,Sleeper
Sleeper,HAS_DIRECTOR,Woody Allen
Diane Keaton,CAST_IN,Sleeper
Sleeper,HAS_CAST,Diane Keaton
Woody Allen,CAST_IN,Sleeper
Sleeper,HAS_CAST,Woody Allen
Science Fiction,GENRE_OF,Sleeper
Sleeper,HAS_GENRE,Science Fiction
Comedy,GENRE_OF,Sleeper
Sleeper,HAS_GENRE,Comedy
misc,GENRE_OF,Sleeper
Sleeper,HAS_GENRE,misc
Documentary,GENRE_OF,Blue Moon Rising
Blue Moon Rising,HAS_GENRE,Documentary
Patrick Wilson,CAST_IN,Young Adult
Young Adult,HAS_CAST,Patrick Wilson
Charlize Theron,CAST_IN,Young Adult
Young Adult,HAS_CAST,Charlize Theron
Drama,GENRE_OF,Young Adult
Young Adult,HAS_GENRE,Drama
Comedy,GENRE_OF,Young Adult
Young Adult,HAS_GENRE,Comedy
Drama,GENRE_OF,The Ritual
The Ritual,HAS_GENRE,Drama
Mystery,GENRE_OF,The Ritual
The Ritual,HAS_GENRE,Mystery
Thriller,GENRE_OF,The Ritual
The Ritual,HAS_GENRE,Thriller
Horror,GENRE_OF,The Ritual
The Ritual,HAS_GENRE,Horror
Drama,GENRE_OF,The Great Beauty
The Great Beauty,HAS_GENRE,Drama
Thriller,GENRE_OF,Black Christmas
Black Christmas,HAS_GENRE,Thriller
Mystery,GENRE_OF,Black Christmas
Black Christmas,HAS_GENRE,Mystery
Horror,GENRE_OF,Black Christmas
Black Christmas,HAS_GENRE,Horror
O'Shea Jackson Jr.,CAST_IN,Den of Thieves
Den of Thieves,HAS_CAST,O'Shea Jackson Jr.
Gerard Butler,CAST_IN,Den of Thieves
Den of Thieves,HAS_CAST,Gerard Butler
Crime,GENRE_OF,Den of Thieves
Den of Thieves,HAS_GENRE,Crime
Thriller,GENRE_OF,Den of Thieves
Den of Thieves,HAS_GENRE,Thriller
Action,GENRE_OF,Den of Thieves
Den of Thieves,HAS_GENRE,Action
Fantasy,GENRE_OF,On Body and Soul
On Body and Soul,HAS_GENRE,Fantasy
Romance,GENRE_OF,On Body and Soul
On Body and Soul,HAS_GENRE,Romance
Drama,GENRE_OF,On Body and Soul
On Body and Soul,HAS_GENRE,Drama
Documentary,GENRE_OF,Charles Manson Superstar
Charles Manson Superstar,HAS_GENRE,Documentary
Crime,GENRE_OF,Charles Manson Superstar
Charles Manson Superstar,HAS_GENRE,Crime
Hugh Jackman,CAST_IN,Real Steel
Real Steel,HAS_CAST,Hugh Jackman
Drama,GENRE_OF,Real Steel
Real Steel,HAS_GENRE,Drama
Science Fiction,GENRE_OF,Real Steel
Real Steel,HAS_GENRE,Science Fiction
Action,GENRE_OF,Real Steel
Real Steel,HAS_GENRE,Action
Richard Gere,CAST_IN,Hachi: A Dog's Tale
Hachi: A Dog's Tale,HAS_CAST,Richard Gere
Family,GENRE_OF,Hachi: A Dog's Tale
Hachi: A Dog's Tale,HAS_GENRE,Family
Drama,GENRE_OF,Hachi: A Dog's Tale
Hachi: A Dog's Tale,HAS_GENRE,Drama
Brad Pitt,CAST_IN,Burn After Reading
Burn After Reading,HAS_CAST,Brad Pitt
George Clooney,CAST_IN,Burn After Reading
Burn After Reading,HAS_CAST,George Clooney
Drama,GENRE_OF,Burn After Reading
Burn After Reading,HAS_GENRE,Drama
Comedy,GENRE_OF,Burn After Reading
Burn After Reading,HAS_GENRE,Comedy
John Cusack,CAST_IN,Con Air
Con Air,HAS_CAST,John Cusack
Nicolas Cage,CAST_IN,Con Air
Con Air,HAS_CAST,Nicolas Cage
Crime,GENRE_OF,Con Air
Con Air,HAS_GENRE,Crime
Thriller,GENRE_OF,Con Air
Con Air,HAS_GENRE,Thriller
Action,GENRE_OF,Con Air
Con Air,HAS_GENRE,Action
Emilio Estevez,DIRECTED,Men at Work
Men at Work,HAS_DIRECTOR,Emilio Estevez
Keith David,CAST_IN,Men at Work
Men at Work,HAS_CAST,Keith David
Emilio Estevez,CAST_IN,Men at Work
Men at Work,HAS_CAST,Emilio Estevez
Charlie Sheen,CAST_IN,Men at Work
Men at Work,HAS_CAST,Charlie Sheen
Crime,GENRE_OF,Men at Work
Men at Work,HAS_GENRE,Crime
Comedy,GENRE_OF,Men at Work
Men at Work,HAS_GENRE,Comedy
TV Movie,GENRE_OF,"Liar, Liar"
"Liar, Liar",HAS_GENRE,TV Movie
Drama,GENRE_OF,"Liar, Liar"
"Liar, Liar",HAS_GENRE,Drama
James Caan,CAST_IN,The Rain People
The Rain People,HAS_CAST,James Caan
Drama,GENRE_OF,The Rain People
The Rain People,HAS_GENRE,Drama
Horror,GENRE_OF,Parents
Parents,HAS_GENRE,Horror
Comedy,GENRE_OF,Parents
Parents,HAS_GENRE,Comedy
Owen Wilson,CAST_IN,Shanghai Noon
Shanghai Noon,HAS_CAST,Owen Wilson
Jackie Chan,CAST_IN,Shanghai Noon
Shanghai Noon,HAS_CAST,Jackie Chan
Western,GENRE_OF,Shanghai Noon
Shanghai Noon,HAS_GENRE,Western
Comedy,GENRE_OF,Shanghai Noon
Shanghai Noon,HAS_GENRE,Comedy
Action,GENRE_OF,Shanghai Noon
Shanghai Noon,HAS_GENRE,Action
Adventure,GENRE_OF,Shanghai Noon
Shanghai Noon,HAS_GENRE,Adventure
Sally Field,CAST_IN,Smokey and the Bandit
Smokey and the Bandit,HAS_CAST,Sally Field
Burt Reynolds,CAST_IN,Smokey and the Bandit
Smokey and the Bandit,HAS_CAST,Burt Reynolds
Comedy,GENRE_OF,Smokey and the Bandit
Smokey and the Bandit,HAS_GENRE,Comedy
Adventure,GENRE_OF,Smokey and the Bandit
Smokey and the Bandit,HAS_GENRE,Adventure
Action,GENRE_OF,Smokey and the Bandit
Smokey and the Bandit,HAS_GENRE,Action
Mystery,GENRE_OF,Unrest
Unrest,HAS_GENRE,Mystery
Horror,GENRE_OF,Unrest
Unrest,HAS_GENRE,Horror
Action,GENRE_OF,Contract
Contract,HAS_GENRE,Action
Thriller,GENRE_OF,Contract
Contract,HAS_GENRE,Thriller
Fantasy,GENRE_OF,Julie
Julie,HAS_GENRE,Fantasy
Drama,GENRE_OF,Julie
Julie,HAS_GENRE,Drama
Comedy,GENRE_OF,Julie
Julie,HAS_GENRE,Comedy
Patrick Wilson,CAST_IN,The Ledge
The Ledge,HAS_CAST,Patrick Wilson
Liv Tyler,CAST_IN,The Ledge
The Ledge,HAS_CAST,Liv Tyler
Charlie Hunnam,CAST_IN,The Ledge
The Ledge,HAS_CAST,Charlie Hunnam
Thriller,GENRE_OF,The Ledge
The Ledge,HAS_GENRE,Thriller
Drama,GENRE_OF,The Ledge
The Ledge,HAS_GENRE,Drama
Joe Wright,DIRECTED,The Woman in the Window
The Woman in the Window,HAS_DIRECTOR,Joe Wright
Gary Oldman,CAST_IN,The Woman in the Window
The Woman in the Window,HAS_CAST,Gary Oldman
Amy Adams,CAST_IN,The Woman in the Window
The Woman in the Window,HAS_CAST,Amy Adams
Thriller,GENRE_OF,The Woman in the Window
The Woman in the Window,HAS_GENRE,Thriller
Mystery,GENRE_OF,The Woman in the Window
The Woman in the Window,HAS_GENRE,Mystery
Crime,GENRE_OF,The Woman in the Window
The Woman in the Window,HAS_GENRE,Crime
Justin Bartha,CAST_IN,Trust the Man
Trust the Man,HAS_CAST,Justin Bartha
Julianne Moore,CAST_IN,Trust the Man
Trust the Man,HAS_CAST,Julianne Moore
Romance,GENRE_OF,Trust the Man
Trust the Man,HAS_GENRE,Romance
Drama,GENRE_OF,Trust the Man
Trust the Man,HAS_GENRE,Drama
Comedy,GENRE_OF,Trust the Man
Trust the Man,HAS_GENRE,Comedy
Claire Danes,CAST_IN,Terminator 3: Rise of the Machines
Terminator 3: Rise of the Machines,HAS_CAST,Claire Danes
Arnold Schwarzenegger,CAST_IN,Terminator 3: Rise of the Machines
Terminator 3: Rise of the Machines,HAS_CAST,Arnold Schwarzenegger
Science Fiction,GENRE_OF,Terminator 3: Rise of the Machines
Terminator 3: Rise of the Machines,HAS_GENRE,Science Fiction
Thriller,GENRE_OF,Terminator 3: Rise of the Machines
Terminator 3: Rise of the Machines,HAS_GENRE,Thriller
Action,GENRE_OF,Terminator 3: Rise of the Machines
Terminator 3: Rise of the Machines,HAS_GENRE,Action
Drama,GENRE_OF,The Secret of Roan Inish
The Secret of Roan Inish,HAS_GENRE,Drama
Family,GENRE_OF,The Secret of Roan Inish
The Secret of Roan Inish,HAS_GENRE,Family
Fantasy,GENRE_OF,The Secret of Roan Inish
The Secret of Roan Inish,HAS_GENRE,Fantasy
Adventure,GENRE_OF,The Secret of Roan Inish
The Secret of Roan Inish,HAS_GENRE,Adventure
Werner Herzog,DIRECTED,Forgotten
Forgotten,HAS_DIRECTOR,Werner Herzog
Werner Herzog,CAST_IN,Forgotten
Forgotten,HAS_CAST,Werner Herzog
Documentary,GENRE_OF,Forgotten
Forgotten,HAS_GENRE,Documentary
Drama,GENRE_OF,Othello
Othello,HAS_GENRE,Drama
Morgan Freeman,CAST_IN,Deep Impact
Deep Impact,HAS_CAST,Morgan Freeman
Science Fiction,GENRE_OF,Deep Impact
Deep Impact,HAS_GENRE,Science Fiction
Drama,GENRE_OF,Deep Impact
Deep Impact,HAS_GENRE,Drama
Action,GENRE_OF,Deep Impact
Deep Impact,HAS_GENRE,Action
misc,GENRE_OF,A Marvel Comics Super Special: Blade Runner
A Marvel Comics Super Special: Blade Runner,HAS_GENRE,misc
Debbie Reynolds,CAST_IN,Bundle of Joy
Bundle of Joy,HAS_CAST,Debbie Reynolds
Romance,GENRE_OF,Bundle of Joy
Bundle of Joy,HAS_GENRE,Romance
Music,GENRE_OF,Bundle of Joy
Bundle of Joy,HAS_GENRE,Music
Comedy,GENRE_OF,Bundle of Joy
Bundle of Joy,HAS_GENRE,Comedy
James McAvoy,CAST_IN,The Last King of Scotland
The Last King of Scotland,HAS_CAST,James McAvoy
Forest Whitaker,CAST_IN,The Last King of Scotland
The Last King of Scotland,HAS_CAST,Forest Whitaker
Drama,GENRE_OF,The Last King of Scotland
The Last King of Scotland,HAS_GENRE,Drama
John Travolta,CAST_IN,A Civil Action
A Civil Action,HAS_CAST,John Travolta
Drama,GENRE_OF,A Civil Action
A Civil Action,HAS_GENRE,Drama
Blake Lively,CAST_IN,Elvis and Anabelle
Elvis and Anabelle,HAS_CAST,Blake Lively
Romance,GENRE_OF,Elvis and Anabelle
Elvis and Anabelle,HAS_GENRE,Romance
Drama,GENRE_OF,Elvis and Anabelle
Elvis and Anabelle,HAS_GENRE,Drama
John Huston,DIRECTED,The African Queen
The African Queen,HAS_DIRECTOR,John Huston
Humphrey Bogart,CAST_IN,The African Queen
The African Queen,HAS_CAST,Humphrey Bogart
Adventure,GENRE_OF,The African Queen
The African Queen,HAS_GENRE,Adventure
Romance,GENRE_OF,The African Queen
The African Queen,HAS_GENRE,Romance
Horror,GENRE_OF,Frozen
Frozen,HAS_GENRE,Horror
Drama,GENRE_OF,Frozen
Frozen,HAS_GENRE,Drama
Josh Gad,CAST_IN,Frozen
Frozen,HAS_CAST,Josh Gad
Idina Menzel,CAST_IN,Frozen
Frozen,HAS_CAST,Idina Menzel
Kristen Bell,CAST_IN,Frozen
Frozen,HAS_CAST,Kristen Bell
Fantasy,GENRE_OF,Frozen
Frozen,HAS_GENRE,Fantasy
Adventure,GENRE_OF,Frozen
Frozen,HAS_GENRE,Adventure
Family,GENRE_OF,Frozen
Frozen,HAS_GENRE,Family
Animation,GENRE_OF,Frozen
Frozen,HAS_GENRE,Animation
Thriller,GENRE_OF,Frozen
Frozen,HAS_GENRE,Thriller
Anna Kendrick,CAST_IN,50/50
50/50,HAS_CAST,Anna Kendrick
Seth Rogen,CAST_IN,50/50
50/50,HAS_CAST,Seth Rogen
Joseph Gordon-Levitt,CAST_IN,50/50
50/50,HAS_CAST,Joseph Gordon-Levitt
Drama,GENRE_OF,50/50
50/50,HAS_GENRE,Drama
Comedy,GENRE_OF,50/50
50/50,HAS_GENRE,Comedy
Steven Spielberg,DIRECTED,Empire of the Sun
Empire of the Sun,HAS_DIRECTOR,Steven Spielberg
Christian Bale,CAST_IN,Empire of the Sun
Empire of the Sun,HAS_CAST,Christian Bale
War,GENRE_OF,Empire of the Sun
Empire of the Sun,HAS_GENRE,War
History,GENRE_OF,Empire of the Sun
Empire of the Sun,HAS_GENRE,History
Drama,GENRE_OF,Empire of the Sun
Empire of the Sun,HAS_GENRE,Drama
Fantasy,GENRE_OF,Mannequin
Mannequin,HAS_GENRE,Fantasy
Romance,GENRE_OF,Mannequin
Mannequin,HAS_GENRE,Romance
Comedy,GENRE_OF,Mannequin
Mannequin,HAS_GENRE,Comedy
Ryan Gosling,CAST_IN,Only God Forgives
Only God Forgives,HAS_CAST,Ryan Gosling
Crime,GENRE_OF,Only God Forgives
Only God Forgives,HAS_GENRE,Crime
Thriller,GENRE_OF,Only God Forgives
Only God Forgives,HAS_GENRE,Thriller
Drama,GENRE_OF,Only God Forgives
Only God Forgives,HAS_GENRE,Drama
Guillermo del Toro,DIRECTED,Hellboy II: The Golden Army
Hellboy II: The Golden Army,HAS_DIRECTOR,Guillermo del Toro
Seth MacFarlane,CAST_IN,Hellboy II: The Golden Army
Hellboy II: The Golden Army,HAS_CAST,Seth MacFarlane
Action,GENRE_OF,Hellboy II: The Golden Army
Hellboy II: The Golden Army,HAS_GENRE,Action
Adventure,GENRE_OF,Hellboy II: The Golden Army
Hellboy II: The Golden Army,HAS_GENRE,Adventure
Fantasy,GENRE_OF,Hellboy II: The Golden Army
Hellboy II: The Golden Army,HAS_GENRE,Fantasy
Hilary Swank,CAST_IN,Boys Don't Cry
Boys Don't Cry,HAS_CAST,Hilary Swank
Drama,GENRE_OF,Boys Don't Cry
Boys Don't Cry,HAS_GENRE,Drama
Crime,GENRE_OF,Boys Don't Cry
Boys Don't Cry,HAS_GENRE,Crime
Patrick Wilson,CAST_IN,A Kind of Murder
A Kind of Murder,HAS_CAST,Patrick Wilson
Crime,GENRE_OF,A Kind of Murder
A Kind of Murder,HAS_GENRE,Crime
Thriller,GENRE_OF,A Kind of Murder
A Kind of Murder,HAS_GENRE,Thriller
Drama,GENRE_OF,A Kind of Murder
A Kind of Murder,HAS_GENRE,Drama
misc,GENRE_OF,Uncle Brian
Uncle Brian,HAS_GENRE,misc
Thriller,GENRE_OF,Who Am I
Who Am I,HAS_GENRE,Thriller
Erika Christensen,CAST_IN,The Banger Sisters
The Banger Sisters,HAS_CAST,Erika Christensen
Susan Sarandon,CAST_IN,The Banger Sisters
The Banger Sisters,HAS_CAST,Susan Sarandon
Goldie Hawn,CAST_IN,The Banger Sisters
The Banger Sisters,HAS_CAST,Goldie Hawn
Drama,GENRE_OF,The Banger Sisters
The Banger Sisters,HAS_GENRE,Drama
Comedy,GENRE_OF,The Banger Sisters
The Banger Sisters,HAS_GENRE,Comedy
Kathy Bates,CAST_IN,Diabolique
Diabolique,HAS_CAST,Kathy Bates
Sharon Stone,CAST_IN,Diabolique
Diabolique,HAS_CAST,Sharon Stone
Horror,GENRE_OF,Diabolique
Diabolique,HAS_GENRE,Horror
Thriller,GENRE_OF,Diabolique
Diabolique,HAS_GENRE,Thriller
Mystery,GENRE_OF,Diabolique
Diabolique,HAS_GENRE,Mystery
Holly Hunter,CAST_IN,Incredibles 2
Incredibles 2,HAS_CAST,Holly Hunter
Family,GENRE_OF,Incredibles 2
Incredibles 2,HAS_GENRE,Family
Animation,GENRE_OF,Incredibles 2
Incredibles 2,HAS_GENRE,Animation
Adventure,GENRE_OF,Incredibles 2
Incredibles 2,HAS_GENRE,Adventure
Action,GENRE_OF,Incredibles 2
Incredibles 2,HAS_GENRE,Action
O'Shea Jackson Jr.,CAST_IN,Straight Outta Compton
Straight Outta Compton,HAS_CAST,O'Shea Jackson Jr.
History,GENRE_OF,Straight Outta Compton
Straight Outta Compton,HAS_GENRE,History
Music,GENRE_OF,Straight Outta Compton
Straight Outta Compton,HAS_GENRE,Music
Drama,GENRE_OF,Straight Outta Compton
Straight Outta Compton,HAS_GENRE,Drama
Mystery,GENRE_OF,The Exorcist III
The Exorcist III,HAS_GENRE,Mystery
Horror,GENRE_OF,The Exorcist III
The Exorcist III,HAS_GENRE,Horror
Joss Whedon,DIRECTED,The Avengers
The Avengers,HAS_DIRECTOR,Joss Whedon
Scarlett Johansson,CAST_IN,The Avengers
The Avengers,HAS_CAST,Scarlett Johansson
Chris Hemsworth,CAST_IN,The Avengers
The Avengers,HAS_CAST,Chris Hemsworth
Mark Ruffalo,CAST_IN,The Avengers
The Avengers,HAS_CAST,Mark Ruffalo
Chris Evans,CAST_IN,The Avengers
The Avengers,HAS_CAST,Chris Evans
Robert Downey Jr.,CAST_IN,The Avengers
The Avengers,HAS_CAST,Robert Downey Jr.
Sean Connery,CAST_IN,The Avengers
The Avengers,HAS_CAST,Sean Connery
Uma Thurman,CAST_IN,The Avengers
The Avengers,HAS_CAST,Uma Thurman
Ralph Fiennes,CAST_IN,The Avengers
The Avengers,HAS_CAST,Ralph Fiennes
Science Fiction,GENRE_OF,The Avengers
The Avengers,HAS_GENRE,Science Fiction
Thriller,GENRE_OF,The Avengers
The Avengers,HAS_GENRE,Thriller
Adventure,GENRE_OF,The Avengers
The Avengers,HAS_GENRE,Adventure
Action,GENRE_OF,The Avengers
The Avengers,HAS_GENRE,Action
Timothy Dalton,CAST_IN,The Rocketeer
The Rocketeer,HAS_CAST,Timothy Dalton
Alan Arkin,CAST_IN,The Rocketeer
The Rocketeer,HAS_CAST,Alan Arkin
Family,GENRE_OF,The Rocketeer
The Rocketeer,HAS_GENRE,Family
Science Fiction,GENRE_OF,The Rocketeer
The Rocketeer,HAS_GENRE,Science Fiction
Adventure,GENRE_OF,The Rocketeer
The Rocketeer,HAS_GENRE,Adventure
Action,GENRE_OF,The Rocketeer
The Rocketeer,HAS_GENRE,Action
Jennifer Aniston,CAST_IN,Leprechaun
Leprechaun,HAS_CAST,Jennifer Aniston
Fantasy,GENRE_OF,Leprechaun
Leprechaun,HAS_GENRE,Fantasy
Comedy,GENRE_OF,Leprechaun
Leprechaun,HAS_GENRE,Comedy
Horror,GENRE_OF,Leprechaun
Leprechaun,HAS_GENRE,Horror
Horror,GENRE_OF,Cannibal Holocaust
Cannibal Holocaust,HAS_GENRE,Horror
Patrick Dempsey,CAST_IN,Sweet Home Alabama
Sweet Home Alabama,HAS_CAST,Patrick Dempsey
Reese Witherspoon,CAST_IN,Sweet Home Alabama
Sweet Home Alabama,HAS_CAST,Reese Witherspoon
Romance,GENRE_OF,Sweet Home Alabama
Sweet Home Alabama,HAS_GENRE,Romance
Comedy,GENRE_OF,Sweet Home Alabama
Sweet Home Alabama,HAS_GENRE,Comedy
Johnny Knoxville,CAST_IN,Skiptrace
Skiptrace,HAS_CAST,Johnny Knoxville
Jackie Chan,CAST_IN,Skiptrace
Skiptrace,HAS_CAST,Jackie Chan
Mystery,GENRE_OF,Skiptrace
Skiptrace,HAS_GENRE,Mystery
Thriller,GENRE_OF,Skiptrace
Skiptrace,HAS_GENRE,Thriller
Comedy,GENRE_OF,Skiptrace
Skiptrace,HAS_GENRE,Comedy
Action,GENRE_OF,Skiptrace
Skiptrace,HAS_GENRE,Action
Charlize Theron,CAST_IN,Snow White and the Huntsman
Snow White and the Huntsman,HAS_CAST,Charlize Theron
Chris Hemsworth,CAST_IN,Snow White and the Huntsman
Snow White and the Huntsman,HAS_CAST,Chris Hemsworth
Kristen Stewart,CAST_IN,Snow White and the Huntsman
Snow White and the Huntsman,HAS_CAST,Kristen Stewart
Drama,GENRE_OF,Snow White and the Huntsman
Snow White and the Huntsman,HAS_GENRE,Drama
Fantasy,GENRE_OF,Snow White and the Huntsman
Snow White and the Huntsman,HAS_GENRE,Fantasy
Adventure,GENRE_OF,Snow White and the Huntsman
Snow White and the Huntsman,HAS_GENRE,Adventure
Horror,GENRE_OF,Dracula's Daughter
Dracula's Daughter,HAS_GENRE,Horror
Fantasy,GENRE_OF,Dracula's Daughter
Dracula's Daughter,HAS_GENRE,Fantasy
Drama,GENRE_OF,Dracula's Daughter
Dracula's Daughter,HAS_GENRE,Drama
Emily Blunt,CAST_IN,Edge of Tomorrow
Edge of Tomorrow,HAS_CAST,Emily Blunt
Tom Cruise,CAST_IN,Edge of Tomorrow
Edge of Tomorrow,HAS_CAST,Tom Cruise
Science Fiction,GENRE_OF,Edge of Tomorrow
Edge of Tomorrow,HAS_GENRE,Science Fiction
Action,GENRE_OF,Edge of Tomorrow
Edge of Tomorrow,HAS_GENRE,Action
Steve Buscemi,CAST_IN,Final Fantasy: The Spirits Within
Final Fantasy: The Spirits Within,HAS_CAST,Steve Buscemi
Alec Baldwin,CAST_IN,Final Fantasy: The Spirits Within
Final Fantasy: The Spirits Within,HAS_CAST,Alec Baldwin
Animation,GENRE_OF,Final Fantasy: The Spirits Within
Final Fantasy: The Spirits Within,HAS_GENRE,Animation
Romance,GENRE_OF,Final Fantasy: The Spirits Within
Final Fantasy: The Spirits Within,HAS_GENRE,Romance
Thriller,GENRE_OF,Final Fantasy: The Spirits Within
Final Fantasy: The Spirits Within,HAS_GENRE,Thriller
Science Fiction,GENRE_OF,Final Fantasy: The Spirits Within
Final Fantasy: The Spirits Within,HAS_GENRE,Science Fiction
Fantasy,GENRE_OF,Final Fantasy: The Spirits Within
Final Fantasy: The Spirits Within,HAS_GENRE,Fantasy
Action,GENRE_OF,Final Fantasy: The Spirits Within
Final Fantasy: The Spirits Within,HAS_GENRE,Action
Adventure,GENRE_OF,Final Fantasy: The Spirits Within
Final Fantasy: The Spirits Within,HAS_GENRE,Adventure
Thriller,GENRE_OF,Neighbor
Neighbor,HAS_GENRE,Thriller
Horror,GENRE_OF,Neighbor
Neighbor,HAS_GENRE,Horror
War,GENRE_OF,South Pacific
South Pacific,HAS_GENRE,War
Romance,GENRE_OF,South Pacific
South Pacific,HAS_GENRE,Romance
Music,GENRE_OF,South Pacific
South Pacific,HAS_GENRE,Music
Cuba Gooding Jr.,CAST_IN,Rat Race
Rat Race,HAS_CAST,Cuba Gooding Jr.
Whoopi Goldberg,CAST_IN,Rat Race
Rat Race,HAS_CAST,Whoopi Goldberg
Rowan Atkinson,CAST_IN,Rat Race
Rat Race,HAS_CAST,Rowan Atkinson
Comedy,GENRE_OF,Rat Race
Rat Race,HAS_GENRE,Comedy
Adventure,GENRE_OF,Rat Race
Rat Race,HAS_GENRE,Adventure
Monica Potter,CAST_IN,Patch Adams
Patch Adams,HAS_CAST,Monica Potter
Robin Williams,CAST_IN,Patch Adams
Patch Adams,HAS_CAST,Robin Williams
Drama,GENRE_OF,Patch Adams
Patch Adams,HAS_GENRE,Drama
Comedy,GENRE_OF,Patch Adams
Patch Adams,HAS_GENRE,Comedy
Sam Rockwell,CAST_IN,Poltergeist
Poltergeist,HAS_CAST,Sam Rockwell
Horror,GENRE_OF,Poltergeist
Poltergeist,HAS_GENRE,Horror
Johnny Depp,CAST_IN,Pirates of the Caribbean: Dead Men Tell No Tales
