SUBJECT,RELATION,OBJECT_PROPERTY,SCORE
Rio,HAS_GENRE,Family,2
Rio,HAS_GENRE,Comedy,2
Rio,HAS_GENRE,Adventure,2
Rio,HAS_GENRE,Animation,2
The Hobbit: The Battle of the Five Armies,HAS_DIRECTOR,Peter Jackson,2
The Hobbit: The Battle of the Five Armies,HAS_CAST,Orlando Bloom,2
The Hobbit: The Battle of the Five Armies,HAS_CAST,Martin Freeman,2
The Hobbit: The Battle of the Five Armies,HAS_GENRE,Fantasy,2
The Hobbit: The Battle of the Five Armies,HAS_GENRE,Adventure,2
The Hobbit: The Battle of the Five Armies,HAS_GENRE,Action,2
A Clockwork Orange,HAS_DIRECTOR,Stanley Kubrick,2
A Clockwork Orange,HAS_GENRE,Crime,2
A Clockwork Orange,HAS_GENRE,Science Fiction,2
Dinosaur,HAS_GENRE,Animation,2
Dinosaur,HAS_GENRE,Family,2
Lego Indiana Jones and the Raiders of the Lost Brick,HAS_GENRE,War,2
Lego Indiana Jones and the Raiders of the Lost Brick,HAS_GENRE,Science Fiction,2
Lego Indiana Jones and the Raiders of the Lost Brick,HAS_GENRE,Family,2
Lego Indiana Jones and the Raiders of the Lost Brick,HAS_GENRE,Action,2
Lego Indiana Jones and the Raiders of the Lost Brick,HAS_GENRE,Animation,2
Lego Indiana Jones and the Raiders of the Lost Brick,HAS_GENRE,Comedy,2
Lego Indiana Jones and the Raiders of the Lost Brick,HAS_GENRE,Adventure,2
Al Capone,HAS_GENRE,Drama,2
Al Capone,HAS_GENRE,Crime,2
Al Capone,HAS_GENRE,Adventure,2
Al Capone,HAS_GENRE,Action,2
Ride,HAS_DIRECTOR,Helen Hunt,0
Ride,HAS_CAST,Luke Wilson,0
Ride,HAS_CAST,Helen Hunt,0
Ride,HAS_GENRE,Romance,0
Ride,HAS_GENRE,Comedy,0
Ride,HAS_GENRE,Drama,0
Ride,HAS_GENRE,Action,0
The Elizabeth Smart Story,HAS_GENRE,TV Movie,2
The Elizabeth Smart Story,HAS_GENRE,Crime,2
The Elizabeth Smart Story,HAS_GENRE,Drama,2
The Bewitched Inn,HAS_GENRE,Fantasy,2
The Great Gatsby,HAS_CAST,Mia Farrow,0
The Great Gatsby,HAS_CAST,Robert Redford,0
The Great Gatsby,HAS_CAST,Tobey Maguire,2
The Great Gatsby,HAS_CAST,Leonardo DiCaprio,2
The Great Gatsby,HAS_GENRE,Romance,2
The Great Gatsby,HAS_GENRE,Drama,2
Eve's Bayou,HAS_GENRE,Drama,2
A Bridge Too Far,HAS_CAST,Sean Connery,2
A Bridge Too Far,HAS_CAST,Michael Caine,2
A Bridge Too Far,HAS_CAST,James Caan,2
A Bridge Too Far,HAS_GENRE,War,2
A Bridge Too Far,HAS_GENRE,History,2
A Bridge Too Far,HAS_GENRE,Drama,2
Untamed Heart,HAS_CAST,Marisa Tomei,2
Untamed Heart,HAS_CAST,Christian Slater,2
Untamed Heart,HAS_GENRE,Romance,2
Untamed Heart,HAS_GENRE,Drama,2
Untamed Heart,HAS_GENRE,Comedy,2
The Female Brain,HAS_GENRE,misc,0
I Now Pronounce You Chuck & Larry,HAS_CAST,Kevin James,2
I Now Pronounce You Chuck & Larry,HAS_CAST,Adam Sandler,2
I Now Pronounce You Chuck & Larry,HAS_GENRE,Romance,2
I Now Pronounce You Chuck & Larry,HAS_GENRE,Comedy,2
The Hitchhiker's Guide to the Galaxy,HAS_CAST,Alan Rickman,2
The Hitchhiker's Guide to the Galaxy,HAS_CAST,Sam Rockwell,2
The Hitchhiker's Guide to the Galaxy,HAS_CAST,Zooey Deschanel,2
The Hitchhiker's Guide to the Galaxy,HAS_CAST,Martin Freeman,2
The Hitchhiker's Guide to the Galaxy,HAS_GENRE,Science Fiction,2
The Hitchhiker's Guide to the Galaxy,HAS_GENRE,Comedy,2
The Hitchhiker's Guide to the Galaxy,HAS_GENRE,Adventure,2
A Quiet Place to Kill,HAS_GENRE,Thriller,2
A Quiet Place to Kill,HAS_GENRE,Drama,2
One Piece: The Movie,HAS_GENRE,Fantasy,2
One Piece: The Movie,HAS_GENRE,Comedy,2
One Piece: The Movie,HAS_GENRE,Adventure,2
One Piece: The Movie,HAS_GENRE,Animation,2
One Piece: The Movie,HAS_GENRE,Action,2
Bloodsport,HAS_CAST,Jean-Claude Van Damme,2
Bloodsport,HAS_GENRE,Thriller,2
Bloodsport,HAS_GENRE,Action,2
"Definitely, Maybe",HAS_CAST,Rachel Weisz,2
"Definitely, Maybe",HAS_CAST,Isla Fisher,2
"Definitely, Maybe",HAS_CAST,Abigail Breslin,2
"Definitely, Maybe",HAS_CAST,Ryan Reynolds,2
"Definitely, Maybe",HAS_GENRE,Romance,2
"Definitely, Maybe",HAS_GENRE,Comedy,2
Bambi,HAS_GENRE,Documentary,0
Bambi,HAS_GENRE,Family,2
Bambi,HAS_GENRE,Drama,2
Bambi,HAS_GENRE,Animation,2
Garden State,HAS_DIRECTOR,Zach Braff,2
Garden State,HAS_CAST,Natalie Portman,2
Garden State,HAS_CAST,Zach Braff,2
Garden State,HAS_GENRE,Romance,2
Garden State,HAS_GENRE,Drama,2
Garden State,HAS_GENRE,Comedy,2
Sex Tape,HAS_CAST,Rob Lowe,2
Sex Tape,HAS_CAST,Cameron Diaz,2
Sex Tape,HAS_GENRE,Comedy,2
The Blackcoat's Daughter,HAS_CAST,Emma Roberts,2
The Blackcoat's Daughter,HAS_GENRE,Thriller,2
The Blackcoat's Daughter,HAS_GENRE,Horror,2
Paddington 2,HAS_CAST,Hugh Grant,2
Paddington 2,HAS_CAST,Sally Hawkins,2
Paddington 2,HAS_GENRE,Family,2
Paddington 2,HAS_GENRE,Comedy,2
Paddington 2,HAS_GENRE,Adventure,2
Deliver Us from Eva,HAS_GENRE,Romance,2
Deliver Us from Eva,HAS_GENRE,Comedy,2
The Sweeney,HAS_GENRE,Crime,2
The Sweeney,HAS_GENRE,Action,2
The Immortals,HAS_CAST,Chris Rock,2
The Immortals,HAS_CAST,Eric Roberts,2
The Immortals,HAS_GENRE,Thriller,2
The Immortals,HAS_GENRE,Drama,2
The Immortals,HAS_GENRE,Crime,2
The Immortals,HAS_GENRE,Action,2
National Lampoon's Vacation,HAS_CAST,Chevy Chase,2
National Lampoon's Vacation,HAS_GENRE,Adventure,0
National Lampoon's Vacation,HAS_GENRE,Comedy,2
Contracted,HAS_GENRE,Thriller,2
Contracted,HAS_GENRE,Horror,2
Reverse,HAS_GENRE,Romance,0
Reverse,HAS_GENRE,Thriller,0
Reverse,HAS_GENRE,Drama,0
Reverse,HAS_GENRE,Comedy,0
You Can't Take It with You,HAS_GENRE,Romance,2
You Can't Take It with You,HAS_GENRE,Comedy,2
Brothers,HAS_CAST,Sam Shepard,2
Brothers,HAS_CAST,Natalie Portman,2
Brothers,HAS_CAST,Jake Gyllenhaal,2
Brothers,HAS_CAST,Tobey Maguire,2
Brothers,HAS_GENRE,War,2
Brothers,HAS_GENRE,Thriller,2
Brothers,HAS_GENRE,Drama,2
Jamesy Boy,HAS_GENRE,Romance,2
Jamesy Boy,HAS_GENRE,Drama,2
Jamesy Boy,HAS_GENRE,Crime,2
The Thirteenth Floor,HAS_GENRE,Mystery,2
The Thirteenth Floor,HAS_GENRE,Science Fiction,2
The Thirteenth Floor,HAS_GENRE,Thriller,2
The Creeper,HAS_GENRE,Horror,2
The Creeper,HAS_GENRE,Adventure,2
Midnight Express,HAS_GENRE,Crime,2
Midnight Express,HAS_GENRE,Drama,2
Swiss Family Robinson,HAS_GENRE,Family,2
Swiss Family Robinson,HAS_GENRE,Adventure,2
Zootopia,HAS_DIRECTOR,Byron Howard,2
Zootopia,HAS_CAST,Idris Elba,2
Zootopia,HAS_CAST,Jason Bateman,2
Zootopia,HAS_GENRE,Comedy,2
Zootopia,HAS_GENRE,Family,2
Zootopia,HAS_GENRE,Adventure,2
Zootopia,HAS_GENRE,Animation,2
Over the Top,HAS_CAST,Sylvester Stallone,2
Over the Top,HAS_GENRE,Drama,2
Over the Top,HAS_GENRE,Action,2
Killing Time,HAS_GENRE,Documentary,0
Braveheart,HAS_DIRECTOR,Mel Gibson,2
Braveheart,HAS_CAST,Mel Gibson,2
Braveheart,HAS_GENRE,War,2
Braveheart,HAS_GENRE,History,2
Braveheart,HAS_GENRE,Drama,2
Braveheart,HAS_GENRE,Action,2
Butterfly on a Wheel,HAS_CAST,Gerard Butler,2
Butterfly on a Wheel,HAS_CAST,Pierce Brosnan,2
Butterfly on a Wheel,HAS_GENRE,Thriller,2
Butterfly on a Wheel,HAS_GENRE,Drama,2
Butterfly on a Wheel,HAS_GENRE,Crime,2
Evil Ed,HAS_GENRE,Comedy,2
Evil Ed,HAS_GENRE,Horror,2
Anastasia,HAS_CAST,Hank Azaria,2
Anastasia,HAS_CAST,John Cusack,2
Anastasia,HAS_CAST,Meg Ryan,2
Anastasia,HAS_GENRE,Adventure,2
Anastasia,HAS_GENRE,Fantasy,2
Anastasia,HAS_GENRE,Family,2
Anastasia,HAS_GENRE,Animation,2
Chloe,HAS_CAST,Liam Neeson,2
Chloe,HAS_CAST,Julianne Moore,2
Chloe,HAS_CAST,Amanda Seyfried,2
Chloe,HAS_GENRE,Mystery,2
Chloe,HAS_GENRE,Thriller,2
Chloe,HAS_GENRE,Drama,2
The Black Dahlia,HAS_CAST,Hilary Swank,2
The Black Dahlia,HAS_CAST,Scarlett Johansson,2
The Black Dahlia,HAS_CAST,Josh Hartnett,2
The Black Dahlia,HAS_GENRE,Drama,2
The Black Dahlia,HAS_GENRE,Thriller,2
The Black Dahlia,HAS_GENRE,Crime,2
Evil Dead II,HAS_GENRE,Fantasy,2
Evil Dead II,HAS_GENRE,Comedy,2
Evil Dead II,HAS_GENRE,Horror,2
The Disappearance of McKinley Nolan,HAS_GENRE,Documentary,2
The Color Purple,HAS_DIRECTOR,Steven Spielberg,0
The Color Purple,HAS_CAST,Oprah Winfrey,0
The Color Purple,HAS_CAST,Danny Glover,0
The Color Purple,HAS_CAST,Whoopi Goldberg,2
The Color Purple,HAS_GENRE,Drama,2
Veronica Mars,HAS_CAST,Kristen Bell,2
Veronica Mars,HAS_GENRE,Crime,2
Veronica Mars,HAS_GENRE,Drama,2
Veronica Mars,HAS_GENRE,Comedy,2
Gotti,HAS_CAST,John Travolta,0
Gotti,HAS_GENRE,Thriller,0
Gotti,HAS_GENRE,History,0
Gotti,HAS_GENRE,Drama,2
Gotti,HAS_GENRE,Crime,2
Porky's,HAS_GENRE,Comedy,2
Epic,HAS_CAST,Amanda Seyfried,2
Epic,HAS_CAST,Colin Farrell,2
Epic,HAS_GENRE,Fantasy,2
Epic,HAS_GENRE,Family,2
Epic,HAS_GENRE,Adventure,2
Epic,HAS_GENRE,Animation,2
Dr. Horrible's Sing-Along Blog,HAS_CAST,Neil Patrick Harris,2
Dr. Horrible's Sing-Along Blog,HAS_GENRE,Comedy,2
Dr. Horrible's Sing-Along Blog,HAS_GENRE,Documentary,2
The Thin Blue Line,HAS_WRITER,Errol Morris,2
The Thin Blue Line,HAS_DIRECTOR,Errol Morris,2
The Thin Blue Line,HAS_GENRE,Documentary,2
The Thin Blue Line,HAS_GENRE,Crime,2
Oceans,HAS_CAST,Pierce Brosnan,2
Oceans,HAS_GENRE,Family,2
Oceans,HAS_GENRE,Documentary,2
Old School,HAS_CAST,Jeremy Piven,2
Old School,HAS_CAST,Vince Vaughn,2
Old School,HAS_CAST,Will Ferrell,2
Old School,HAS_CAST,Luke Wilson,2
Old School,HAS_GENRE,Comedy,2
Hawking,HAS_CAST,Benedict Cumberbatch,2
Hawking,HAS_GENRE,Drama,2
Hawking,HAS_GENRE,Documentary,0
Hellraiser: Inferno,HAS_GENRE,Mystery,2
Hellraiser: Inferno,HAS_GENRE,Thriller,0
Hellraiser: Inferno,HAS_GENRE,Horror,2
Stop-Loss,HAS_CAST,Channing Tatum,2
Stop-Loss,HAS_CAST,Joseph Gordon-Levitt,2
Stop-Loss,HAS_CAST,Abbie Cornish,2
Stop-Loss,HAS_GENRE,War,2
Stop-Loss,HAS_GENRE,Drama,2
Snake Eyes,HAS_CAST,Nicolas Cage,2
Snake Eyes,HAS_GENRE,Mystery,2
Snake Eyes,HAS_GENRE,Crime,2
Snake Eyes,HAS_GENRE,Thriller,2
Eragon,HAS_CAST,Jeremy Irons,2
Eragon,HAS_GENRE,Family,2
Eragon,HAS_GENRE,Adventure,2
Eragon,HAS_GENRE,Action,2
Eragon,HAS_GENRE,Fantasy,2
Kick-Ass,HAS_CAST,Nicolas Cage,2
Kick-Ass,HAS_GENRE,Crime,2
Kick-Ass,HAS_GENRE,Action,2
Breathe,HAS_CAST,Andrew Garfield,0
Breathe,HAS_GENRE,Romance,0
Breathe,HAS_GENRE,Drama,0
Breathe,HAS_GENRE,Crime,0
The Hurt Locker,HAS_CAST,Guy Pearce,2
The Hurt Locker,HAS_CAST,Jeremy Renner,2
The Hurt Locker,HAS_GENRE,War,2
The Hurt Locker,HAS_GENRE,Thriller,2
The Hurt Locker,HAS_GENRE,Drama,2
City of Ember,HAS_CAST,Tim Robbins,2
City of Ember,HAS_CAST,Bill Murray,2
City of Ember,HAS_CAST,Saoirse Ronan,2
City of Ember,HAS_GENRE,Fantasy,2
City of Ember,HAS_GENRE,Family,2
City of Ember,HAS_GENRE,Adventure,2
Still Alice,HAS_CAST,Kate Bosworth,2
Still Alice,HAS_CAST,Kristen Stewart,2
Still Alice,HAS_CAST,Alec Baldwin,2
Still Alice,HAS_CAST,Julianne Moore,2
Still Alice,HAS_GENRE,Drama,2
Seven Seconds,HAS_GENRE,misc,0
12 Strong,HAS_CAST,Chris Hemsworth,2
12 Strong,HAS_GENRE,History,2
12 Strong,HAS_GENRE,Action,2
12 Strong,HAS_GENRE,Drama,2
12 Strong,HAS_GENRE,War,2
Sleepless in Seattle,HAS_CAST,Meg Ryan,2
Sleepless in Seattle,HAS_CAST,Tom Hanks,2
Sleepless in Seattle,HAS_GENRE,Romance,2
Sleepless in Seattle,HAS_GENRE,Drama,2
Sleepless in Seattle,HAS_GENRE,Comedy,2
Trick or Treat,HAS_GENRE,Mystery,2
Trick or Treat,HAS_GENRE,Horror,0
The Witness,HAS_GENRE,Action,0
The Witness,HAS_GENRE,Comedy,0
The Witness,HAS_GENRE,Family,0
A Tale of Two Sisters,HAS_CAST,Lim Soo-jung,2
A Tale of Two Sisters,HAS_GENRE,Mystery,2
A Tale of Two Sisters,HAS_GENRE,Horror,2
A Tale of Two Sisters,HAS_GENRE,Drama,2
I.T.,HAS_CAST,Michael Nyqvist,2
I.T.,HAS_CAST,Pierce Brosnan,2
I.T.,HAS_GENRE,Thriller,2
The Parent Trap,HAS_CAST,Hayley Mills,0
The Parent Trap,HAS_CAST,Dennis Quaid,2
The Parent Trap,HAS_CAST,Lindsay Lohan,2
The Parent Trap,HAS_GENRE,Family,2
The Parent Trap,HAS_GENRE,Comedy,2
She's the One,HAS_GENRE,Romance,2
She's the One,HAS_GENRE,Drama,2
The Merchant of Venice,HAS_CAST,Joseph Fiennes,2
The Merchant of Venice,HAS_CAST,Jeremy Irons,2
The Merchant of Venice,HAS_CAST,Al Pacino,2
The Merchant of Venice,HAS_GENRE,Romance,2
The Merchant of Venice,HAS_GENRE,Drama,2
Blast from the Past,HAS_CAST,Christopher Walken,2
Blast from the Past,HAS_GENRE,Comedy,2
Blast from the Past,HAS_GENRE,Romance,2
Blast from the Past,HAS_GENRE,Drama,2
The Shawshank Redemption,HAS_CAST,Morgan Freeman,2
The Shawshank Redemption,HAS_CAST,Tim Robbins,2
The Shawshank Redemption,HAS_GENRE,Crime,2
The Shawshank Redemption,HAS_GENRE,Drama,2
Death Note,HAS_CAST,Willem Dafoe,2
Death Note,HAS_GENRE,Thriller,0
Death Note,HAS_GENRE,Horror,2
Death Note,HAS_GENRE,Fantasy,2
Death Note,HAS_GENRE,Crime,2
Spy Game,HAS_DIRECTOR,Tony Scott,2
Spy Game,HAS_CAST,Brad Pitt,2
Spy Game,HAS_CAST,Robert Redford,2
Spy Game,HAS_GENRE,Thriller,2
Spy Game,HAS_GENRE,Crime,2
Spy Game,HAS_GENRE,Action,2
Dirty Work,HAS_CAST,Artie Lange,2
Dirty Work,HAS_GENRE,Comedy,2
The Accountant,HAS_CAST,Anna Kendrick,2
The Accountant,HAS_CAST,Ben Affleck,2
The Accountant,HAS_GENRE,Drama,2
The Accountant,HAS_GENRE,Thriller,2
The Accountant,HAS_GENRE,Crime,2
Dragonheart,HAS_CAST,Sean Connery,2
Dragonheart,HAS_CAST,Dennis Quaid,2
Dragonheart,HAS_GENRE,Drama,2
Dragonheart,HAS_GENRE,Adventure,2
Dragonheart,HAS_GENRE,Action,2
Dragonheart,HAS_GENRE,Fantasy,2
Ant-Man,HAS_CAST,Bobby Cannavale,2
Ant-Man,HAS_CAST,Michael Douglas,2
Ant-Man,HAS_CAST,Paul Rudd,2
Ant-Man,HAS_GENRE,Adventure,2
Ant-Man,HAS_GENRE,Action,2
Ant-Man,HAS_GENRE,Science Fiction,2
Avengers: Infinity War,HAS_CAST,Scarlett Johansson,2
Avengers: Infinity War,HAS_CAST,Chris Evans,2
Avengers: Infinity War,HAS_CAST,Mark Ruffalo,2
Avengers: Infinity War,HAS_CAST,Chris Hemsworth,2
Avengers: Infinity War,HAS_CAST,Robert Downey Jr.,2
Avengers: Infinity War,HAS_GENRE,Science Fiction,2
Avengers: Infinity War,HAS_GENRE,Action,2
Avengers: Infinity War,HAS_GENRE,Adventure,2
Gandhi,HAS_CAST,Ben Kingsley,2
Gandhi,HAS_GENRE,History,2
Gandhi,HAS_GENRE,Drama,2
The Adjustment Bureau,HAS_CAST,Emily Blunt,2
The Adjustment Bureau,HAS_CAST,Matt Damon,2
The Adjustment Bureau,HAS_GENRE,Romance,2
The Adjustment Bureau,HAS_GENRE,Thriller,2
The Adjustment Bureau,HAS_GENRE,Science Fiction,2
Scary Movie 5,HAS_GENRE,Comedy,2
Midnight Sun,HAS_GENRE,Adventure,0
Midnight Sun,HAS_GENRE,Family,0
Midnight Sun,HAS_CAST,Rob Riggle,2
Midnight Sun,HAS_CAST,Patrick Schwarzenegger,2
Midnight Sun,HAS_CAST,Bella Thorne,2
Midnight Sun,HAS_GENRE,Drama,2
Midnight Sun,HAS_GENRE,Romance,2
The Number 23,HAS_CAST,Danny Huston,2
The Number 23,HAS_CAST,Jim Carrey,2
The Number 23,HAS_GENRE,Crime,2
The Number 23,HAS_GENRE,Mystery,2
The Number 23,HAS_GENRE,Thriller,2
Seal Team Six: The Raid on Osama Bin Laden,HAS_GENRE,Drama,2
Seal Team Six: The Raid on Osama Bin Laden,HAS_GENRE,Crime,2
Seal Team Six: The Raid on Osama Bin Laden,HAS_GENRE,Action,2
Seal Team Six: The Raid on Osama Bin Laden,HAS_GENRE,Thriller,2
Rolling Thunder,HAS_CAST,Tommy Lee Jones,2
Rolling Thunder,HAS_GENRE,Thriller,2
Rolling Thunder,HAS_GENRE,Drama,2
Rolling Thunder,HAS_GENRE,Crime,2
Rolling Thunder,HAS_GENRE,Action,2
Evil Dead,HAS_GENRE,Horror,2
Domestic Disturbance,HAS_CAST,Vince Vaughn,2
Domestic Disturbance,HAS_CAST,John Travolta,2
Domestic Disturbance,HAS_GENRE,Mystery,2
Domestic Disturbance,HAS_GENRE,Crime,2
Domestic Disturbance,HAS_GENRE,Thriller,2
Australia,HAS_CAST,Essie Davis,2
Australia,HAS_CAST,Hugh Jackman,2
Australia,HAS_CAST,Nicole Kidman,2
Australia,HAS_GENRE,Drama,2
Australia,HAS_GENRE,Romance,2
Australia,HAS_GENRE,Adventure,2
In Good Company,HAS_CAST,Scarlett Johansson,2
In Good Company,HAS_CAST,Topher Grace,2
In Good Company,HAS_CAST,Dennis Quaid,2
In Good Company,HAS_GENRE,Romance,2
In Good Company,HAS_GENRE,Drama,2
In Good Company,HAS_GENRE,Comedy,2
King of New York,HAS_CAST,Wesley Snipes,2
King of New York,HAS_CAST,Laurence Fishburne,2
King of New York,HAS_CAST,Christopher Walken,2
King of New York,HAS_GENRE,Crime,2
King of New York,HAS_GENRE,Thriller,2
Out of Africa,HAS_CAST,Meryl Streep,2
Out of Africa,HAS_CAST,Robert Redford,2
Out of Africa,HAS_GENRE,Drama,2
Out of Africa,HAS_GENRE,Romance,2
Out of Africa,HAS_GENRE,History,2
Rebel Without a Cause,HAS_CAST,James Dean,2
Rebel Without a Cause,HAS_GENRE,Drama,2
The King's Speech,HAS_CAST,Guy Pearce,2
The King's Speech,HAS_CAST,Colin Firth,2
The King's Speech,HAS_GENRE,History,2
The King's Speech,HAS_GENRE,Drama,2
The Nutty Professor,HAS_WRITER,Jerry Lewis,0
The Nutty Professor,HAS_DIRECTOR,Jerry Lewis,0
The Nutty Professor,HAS_CAST,Dave Chappelle,2
The Nutty Professor,HAS_CAST,Jada Pinkett Smith,2
The Nutty Professor,HAS_CAST,Eddie Murphy,2
The Nutty Professor,HAS_GENRE,Science Fiction,2
The Nutty Professor,HAS_GENRE,Romance,2
The Nutty Professor,HAS_GENRE,Fantasy,2
The Nutty Professor,HAS_CAST,Jerry Lewis,0
The Nutty Professor,HAS_GENRE,Family,0
The Nutty Professor,HAS_GENRE,Comedy,2
The Nutty Professor,HAS_GENRE,Animation,0
Lake Placid,HAS_CAST,Betty White,2
Lake Placid,HAS_GENRE,Thriller,2
Lake Placid,HAS_GENRE,Science Fiction,2
Lake Placid,HAS_GENRE,Action,2
Lake Placid,HAS_GENRE,Comedy,2
Lake Placid,HAS_GENRE,Horror,2
Knight and Day,HAS_DIRECTOR,James Mangold,2
Knight and Day,HAS_CAST,Viola Davis,2
Knight and Day,HAS_CAST,Cameron Diaz,2
Knight and Day,HAS_CAST,Tom Cruise,2
Knight and Day,HAS_GENRE,Comedy,2
Knight and Day,HAS_GENRE,Action,2
Just Friends,HAS_CAST,Ryan Reynolds,2
Just Friends,HAS_GENRE,Romance,2
Just Friends,HAS_GENRE,Comedy,2
Exit Through the Gift Shop,HAS_GENRE,Documentary,2
Cowboy Bebop: The Movie,HAS_GENRE,Science Fiction,2
Cowboy Bebop: The Movie,HAS_GENRE,Animation,2
Cowboy Bebop: The Movie,HAS_GENRE,Action,2
Paul Blart: Mall Cop,HAS_CAST,Kevin James,2
Paul Blart: Mall Cop,HAS_GENRE,Family,2
Paul Blart: Mall Cop,HAS_GENRE,Comedy,2
Paul Blart: Mall Cop,HAS_GENRE,Adventure,2
Paul Blart: Mall Cop,HAS_GENRE,Action,2
The Little Hours,HAS_CAST,Aubrey Plaza,2
The Little Hours,HAS_GENRE,Comedy,2
The Age of Adaline,HAS_CAST,Harrison Ford,2
The Age of Adaline,HAS_CAST,Blake Lively,2
The Age of Adaline,HAS_GENRE,Drama,2
The Age of Adaline,HAS_GENRE,Fantasy,2
The Age of Adaline,HAS_GENRE,Romance,2
The Snowman,HAS_CAST,Val Kilmer,0
The Snowman,HAS_CAST,Michael Fassbender,0
The Snowman,HAS_GENRE,Thriller,0
The Snowman,HAS_GENRE,Crime,0
Red Planet,HAS_CAST,Val Kilmer,2
Red Planet,HAS_GENRE,Science Fiction,2
Red Planet,HAS_GENRE,Action,2
Red Planet,HAS_GENRE,Thriller,2
Ice Age: The Meltdown,HAS_CAST,Queen Latifah,2
Ice Age: The Meltdown,HAS_CAST,Ray Romano,2
Ice Age: The Meltdown,HAS_GENRE,Adventure,2
Ice Age: The Meltdown,HAS_GENRE,Comedy,2
Ice Age: The Meltdown,HAS_GENRE,Family,2
Ice Age: The Meltdown,HAS_GENRE,Animation,2
Night Monster,HAS_GENRE,Thriller,2
Night Monster,HAS_GENRE,Mystery,2
Night Monster,HAS_GENRE,Horror,2
Resident Evil: Apocalypse,HAS_CAST,Milla Jovovich,2
Resident Evil: Apocalypse,HAS_GENRE,Science Fiction,2
Resident Evil: Apocalypse,HAS_GENRE,Action,2
Resident Evil: Apocalypse,HAS_GENRE,Horror,2
Garfield: The Movie,HAS_CAST,Jennifer Love Hewitt,0
Garfield: The Movie,HAS_CAST,Bill Murray,0
Garfield: The Movie,HAS_GENRE,Family,2
Garfield: The Movie,HAS_GENRE,Comedy,2
Garfield: The Movie,HAS_GENRE,Animation,2
Girl with a Pearl Earring,HAS_CAST,Colin Firth,2
Girl with a Pearl Earring,HAS_CAST,Scarlett Johansson,2
Girl with a Pearl Earring,HAS_GENRE,Romance,2
Girl with a Pearl Earring,HAS_GENRE,Drama,2
The Nun's Story,HAS_CAST,Audrey Hepburn,2
The Nun's Story,HAS_GENRE,Drama,2
Football,HAS_GENRE,misc,0
Things to Do in Denver When You're Dead,HAS_GENRE,Crime,2
Things to Do in Denver When You're Dead,HAS_GENRE,Drama,2
Monsters vs. Aliens,HAS_CAST,Kiefer Sutherland,2
Monsters vs. Aliens,HAS_CAST,Seth Rogen,2
Monsters vs. Aliens,HAS_CAST,Reese Witherspoon,2
Monsters vs. Aliens,HAS_GENRE,Science Fiction,2
Monsters vs. Aliens,HAS_GENRE,Adventure,2
Monsters vs. Aliens,HAS_GENRE,Family,2
Monsters vs. Aliens,HAS_GENRE,Animation,2
Creature of the Walking Dead,HAS_GENRE,Science Fiction,2
Creature of the Walking Dead,HAS_GENRE,Horror,2
Rise of the Gargoyles,HAS_GENRE,Fantasy,2
Rise of the Gargoyles,HAS_GENRE,Adventure,2
Rise of the Gargoyles,HAS_GENRE,Action,2
Rise of the Gargoyles,HAS_GENRE,Horror,2
My Dog Skip,HAS_CAST,Luke Wilson,2
My Dog Skip,HAS_CAST,Kevin Bacon,2
My Dog Skip,HAS_CAST,Diane Lane,2
My Dog Skip,HAS_CAST,Frankie Muniz,2
My Dog Skip,HAS_GENRE,Family,2
My Dog Skip,HAS_GENRE,Drama,2
My Dog Skip,HAS_GENRE,Comedy,2
Spider-Man,HAS_GENRE,TV Movie,0
Spider-Man,HAS_GENRE,Crime,0
Spider-Man,HAS_GENRE,Science Fiction,2
Spider-Man,HAS_CAST,James Franco,0
Spider-Man,HAS_CAST,Willem Dafoe,0
Spider-Man,HAS_CAST,Tobey Maguire,2
Spider-Man,HAS_GENRE,Action,2
Spider-Man,HAS_GENRE,Fantasy,0
Godzilla vs. Megalon,HAS_GENRE,Science Fiction,0
Godzilla vs. Megalon,HAS_GENRE,Action,2
It's Complicated,HAS_CAST,Alec Baldwin,2
It's Complicated,HAS_CAST,Steve Martin,2
It's Complicated,HAS_CAST,Meryl Streep,2
It's Complicated,HAS_GENRE,Romance,2
It's Complicated,HAS_GENRE,Comedy,2
Coming to America,HAS_CAST,Eddie Murphy,2
Coming to America,HAS_GENRE,Romance,2
Coming to America,HAS_GENRE,Comedy,2
Beethoven's 2nd,HAS_GENRE,Comedy,2
Beethoven's 2nd,HAS_GENRE,Family,2
Jackie,HAS_CAST,Greta Gerwig,2
Jackie,HAS_CAST,Natalie Portman,2
Jackie,HAS_GENRE,Drama,2
Gangs of Wasseypur,HAS_GENRE,Crime,2
Gangs of Wasseypur,HAS_GENRE,Thriller,2
Gangs of Wasseypur,HAS_GENRE,Action,2
Seabiscuit,HAS_CAST,Jeff Bridges,2
Seabiscuit,HAS_CAST,Tobey Maguire,2
Seabiscuit,HAS_GENRE,History,2
Seabiscuit,HAS_GENRE,Drama,2
Vampire's Kiss,HAS_CAST,Nicolas Cage,2
Vampire's Kiss,HAS_GENRE,Horror,2
Vampire's Kiss,HAS_GENRE,Comedy,2
Life and Debt,HAS_GENRE,Documentary,2
A Day in the Death of Donny B,HAS_GENRE,Documentary,2
A Day in the Death of Donny B,HAS_GENRE,Drama,2
An Affair,HAS_GENRE,Drama,2
This Film Is Not Yet Rated,HAS_GENRE,Documentary,2
"Game Over, Man!",HAS_GENRE,Comedy,2
"Game Over, Man!",HAS_GENRE,Action,2
